Tweet ID,Full Text,Mask Sentiment,Language
1,Wear your mask! #WearAMask #WearADamnMask #StaySafe #MasksWork #MaskUp #MaskUpAmerica #MaskUpCanada #Masks4Canada #MaskUpCanada #MasksSaveLives,Pro-Mask,English
2,That feeling when you see that your friend is also wearing a mask. 😷,Pro-Mask,English
3,"My mask protects you, your mask protects me.",Pro-Mask,English
4,Wear Mask in Public And Wash your Hands Frequently to Control #COVID19 Spread.,Pro-Mask,English
5,Stay home. Don't visit people. Wear a mask. Wash your hands.,Pro-Mask,English
6,So tired of people acting like idiots. Spiting on someone during a pandemic is assault. #COVIDIDIOT #antimasker #covidiots,Pro-Mask,English
7,#SocialDistancing #StayHomeSaveLives #SocialDistance,Pro-Mask,English
8,I’m so glad kids must wear masks upon return to K-12 school in January.,Pro-Mask,English
9,"Need action! More tests, rapid tests, masks in schools (closed in hot spots w supports), ventilation, travel shutdown, vaccines.",Pro-Mask,English
10,Yet another beautiful mask! Your pics have encouraged people to do the sensible thing and wear a mask! #beautiful #style #smile #instagram,Pro-Mask,English
11,"Let’s all wear a mask, be socially responsible and social distance, and get the vaccine. So we can all get back to work.",Pro-Mask,English
12,Wear.A.Goddamn.Mask.,Pro-Mask,English
13,IMPORTANT CDC update that #fakenews will NEVER cover. Masking an entire population doesn't make a difference and won't stop a virus. It never did in decades of early research and it doesn't now. Believe or not....it is still the truth. They lied. Wake up.,Anti-Mask,English
14,I wear no mask. I kneel to no man. THERE IS NO PANDEMIC. Grow a set. #WakeUp,Anti-Mask,English
15,Masks Don’t Work. #MasksDontWork #UnMaskEveryone,Anti-Mask,English
16,#End the Lockdowns #StoptheFear #TakeOffYourMask #ComplianceOver #EnoughIsEnough,Anti-Mask,English
17,Do not accept masks or mass testing in schools. Children are not biohazards or test subjects.,Anti-Mask,English
18,There is no justification for masks. #UsForThem #NoMasksInClass,Anti-Mask,English
19,That mask doesn’t work #FauciTheFraud #Covid19Lies,Anti-Mask,English
20,Take off your muzzle and open your eyes! #Plandemic scam #MasksOff,Anti-Mask,English
21,Your daily reminder that COVID-19 is patented and masks cause cancer by depriving your cells of oxygen. #scamdemic #SocialIsolation #CovidHoax #CoronaHoax #FakeNews,Anti-Mask,English
22,FEAR MONGERING. These POLITICIANS want nothing but to lock us all down and muzzle us with useless face masks and the media goes on with FAKE COVID-19 news  #GovernmentLies #Freedom #Scamdemic2020,Anti-Mask,English
23,There is no evidence to support the effectiveness of masks. Mask mandates don’t work!,Anti-Mask,English
24,Easter Spring Holiday Gifts & Presents Collection 15% Off #zazzle #zazzlemade #coronavirus #sale #mask #floral #holiday #cute #gifts #spring #Easter #birthday #MaskedSinger #art #COVID19,Neutral,English
25,idc I will continue to wear my lipgloss under my mask,Neutral,English
26,I’ve been talking about it for 15yrs & should’ve done it 10yrs ago... I now have adult braces. They’re painful as hell at the mo & I’ll be hiding them behind a mask for months; but I can’t wait until I finally have a smile I’m happy with & don’t feel like hiding,Neutral,English
27,#FaceMasksForSale,Neutral,English
28,"#BreakingNews #masks STOCK LEVELS are #ALLTIMELOW Don't wait until the last minute, get your #facemask now!",Neutral,English
29,#News #BreakingNews #LatestNews Update soon.,Neutral,English
30,People wearing masks during the 1918 flu pandemic.,Neutral,English
31,Thought I was experiencing covid symptoms on boxing day because I spent half of Christmas day on zoom and my throat was SORE.,Unrelated,English
32,"Please support Boo’s. When nobody could find flour or yeast for baking early in the pandemic, they tracked some down to make available to people in the community, helped our kids have a safe Halloween, and generally make the community better!",Unrelated,English
33,My grandma said she thought she had covid but then she ate a ginger candy and she felt better.....gotta love Jamaicans man lol,Unrelated,English
34,"My main form of sustenance today has been Sour Skittles. Sorry tastebuds; you managed to survive COVID, but lost miserably to some candy ✌🏼. #Skittles 😋#TasteTheRainbow",Unrelated,English
35,China promises free jabs for all as Sinopharm’s Covid-19 vaccine approved,Unrelated,English
36,I haven’t left the house since the lockdown except to walk the dog. Is there something wrong with me?,Unrelated,English
37,Tonight @ 9PM EST: My friend Nick is continuing the charity stream to help Venezuelan families through Covid-19. Every dollar saves lives,Unrelated,English
38,Chicago infant who tested positive for coronavirus in March confirmed to have died of virus-related pneumonia,Unrelated,English
39,"Mais vous voulez pas le vaccin le cave, et c’est une fausse pandémie selon ta gang de morons..... pourquoi tu veut un vaccin? 😵😵😵 Et si notre médecine n’était pas ‘’socialiste’’, personne ne pourrait se le payer le vaccin ni les soins pour guérir de la Covid",Not Sure,Unknown
40,आपका ये कर्तव्य बनता है की अपनी अलोटी के साथ आप संकट के समय साथ खड़े हो। उम्मीद के साथ !!,Not Sure,Unknown
41,Bersatu kita mengatasi pandemi Covid19 #PAKAIMASKER #DIRUMAHSAJA #JAGAJARAK #HINDARIKERUMUNAN #CUCITANGAN #JAGADIRI #JAGAKELUARGA,Not Sure,Unknown
42,TRINTA E CINCO MORTES NO BRASIL POR CAUSA DO COVID.,Not Sure,Unknown
43,"Otro record de los tantos que tenemos: desde inicio de la cuarentena detienen a razòn de 1 periodista por semana.  Todo indica que esta tasa seguirà aumentando a ritmo sostenido, a menos que sigan apagando, replegando y cerrando màs micròfonos y màs medios",Not Sure,Unknown
44,"Ah, kalau begitu dan begini terus. Kapan sejarah mencatat awal, pertengahan, serta akhir dari pandemi COVID19 ?",Not Sure,Unknown
45,Könnte mir mal jemand von der @SPDNDS und der @SPDLandBremen erklären warum man so lange benötigt um eine #Maskenpflicht in der Öffentlichkeit beim Einkaufen und im #öpnv verpflichtend zu machen. Es geht um das Leben von Menschen und nicht um Eitelkeiten #Coronakrise,Not Sure,Unknown
46,"Adaptasi Kebiasaan Baru Wajib Pake Masker Tetap Jaga Jarak Sahabat ZERA pada masa adaptasi kebiasaan baru masyarakat diimbau untuk selalu menjaga jarak dan menggunakan masker sebagai bentuk disiplin protokol kesehatan guna memutus mata rantai penyebaran Covid-19.
ขายเป็นกล่อง แบ่งขาาย #มข นัดรับ #ขายหน้ากากอนามัย #หน้ากากอนามัยพร้อมส่ง #COVID19
@PvvOntmaskerd Tuurlijk zien we dat. Net zoals het feit dat Wilders en Baudet wel bij de demonstraties vd boeren op kwamen draven. Toen we daar stonden met anti-lockdown, onder bedreiging v paarden en helmen, waren ze nergens in beeld. Maar in dit geval beter laat dan nooit"" ...",Not Sure,Unknown
